research,toefl,intern,greV,greQ,greA,gpa,major,univ,target_univ,admit
0,112.0,5.0,160.0,167.0,4.5,0.85,,4,Worcester Polytechnic Institute,1
0,94.0,0.0,146.0,157.0,3.0,0.7828,BA,3,Worcester Polytechnic Institute,1
0,81.0,0.0,138.0,170.0,2.5,0.57,BA,3,Worcester Polytechnic Institute,1
0,104.0,0.0,150.0,161.0,4.5,0.622,BA,3,Worcester Polytechnic Institute,1
0,95.0,0.0,147.0,156.0,3.0,0.52,BA,3,Worcester Polytechnic Institute,1
0,101.0,0.0,145.0,169.0,3.0,0.64,BA,3,Worcester Polytechnic Institute,1
0,107.0,0.0,151.0,170.0,4.5,0.7140000000000001,CS,3,Worcester Polytechnic Institute,1
0,94.0,0.0,138.0,164.0,3.5,0.573,BA,3,Worcester Polytechnic Institute,1
0,99.0,0.0,145.0,170.0,3.5,0.65,CS,3,Worcester Polytechnic Institute,1
0,99.0,0.0,145.0,170.0,3.5,0.65,CS,5,Worcester Polytechnic Institute,1
0,91.0,0.0,146.0,161.0,3.0,0.5484,BA,3,Worcester Polytechnic Institute,1
0,101.0,0.0,149.0,159.0,3.0,0.765,BA,5,Worcester Polytechnic Institute,1
0,96.0,0.0,158.0,165.0,3.0,0.705,OE,3,Worcester Polytechnic Institute,1
0,98.0,0.0,143.0,159.0,3.0,0.55,BA,3,Worcester Polytechnic Institute,1
0,111.0,0.0,156.0,159.0,3.5,0.7238,CS,3,Worcester Polytechnic Institute,1
0,112.0,0.0,154.0,161.0,3.5,0.78,EE,3,Worcester Polytechnic Institute,1
0,94.0,0.0,155.0,168.0,3.0,0.6324000000000001,BA,5,Worcester Polytechnic Institute,1
0,99.0,0.0,143.0,162.0,3.5,0.874,EE,3,Worcester Polytechnic Institute,1
0,105.0,0.0,139.0,168.0,3.5,0.64,BA,3,Worcester Polytechnic Institute,1
0,94.0,0.0,32.0,50.0,4.5,0.775,BA,1,Worcester Polytechnic Institute,1
0,108.0,0.0,162.0,161.0,3.5,0.8460000000000001,EE,3,Worcester Polytechnic Institute,1
0,109.0,0.0,152.0,163.0,3.5,0.652,CS,2,Worcester Polytechnic Institute,1
0,114.0,0.0,165.0,164.0,3.0,0.5932999999999999,EE,3,Worcester Polytechnic Institute,1
0,107.0,0.0,160.0,170.0,3.0,0.7,CS,5,Worcester Polytechnic Institute,1
0,101.0,0.0,149.0,160.0,3.0,0.72,BA,1,Worcester Polytechnic Institute,1
0,115.0,0.0,157.0,170.0,4.0,0.79,CS,2,Worcester Polytechnic Institute,1
0,95.0,0.0,152.0,163.0,3.0,0.62,CS,5,Worcester Polytechnic Institute,1
0,93.0,0.0,145.0,160.0,3.0,0.759,BA,2,Worcester Polytechnic Institute,1
0,111.0,0.0,156.0,167.0,4.0,0.6825,EE,2,Worcester Polytechnic Institute,1
0,103.0,0.0,135.0,167.0,3.0,0.58,BA,3,Worcester Polytechnic Institute,1
0,110.0,0.0,159.0,170.0,4.0,0.8328,EE,3,Worcester Polytechnic Institute,1
0,101.0,0.0,149.0,158.0,3.0,0.67,OE,5,Worcester Polytechnic Institute,1
0,96.0,0.0,140.0,156.0,2.0,0.91,OE,1,Worcester Polytechnic Institute,1
0,113.0,0.0,150.0,170.0,3.5,0.7813,EE,3,Worcester Polytechnic Institute,1
0,108.0,0.0,158.0,167.0,4.5,0.869,OE,3,Worcester Polytechnic Institute,1
0,98.0,0.0,145.0,159.0,3.0,0.64,BA,3,Worcester Polytechnic Institute,1
0,102.0,0.0,153.0,152.0,3.0,0.8039999999999999,CS,3,Worcester Polytechnic Institute,1
0,101.0,0.0,148.0,163.0,4.0,0.53,BA,3,Worcester Polytechnic Institute,1
0,101.0,0.0,139.0,169.0,4.5,0.7227,EE,1,Worcester Polytechnic Institute,1
0,99.0,0.0,150.0,151.0,4.0,0.63,CS,3,Worcester Polytechnic Institute,1
0,103.0,0.0,156.0,159.0,4.0,0.675,CS,3,Worcester Polytechnic Institute,1
0,94.0,0.0,148.0,168.0,3.0,0.54,BA,3,Worcester Polytechnic Institute,1
0,106.0,0.0,156.0,168.0,3.5,0.625,BA,3,Worcester Polytechnic Institute,1
0,109.0,0.0,156.0,157.0,3.0,0.56,BA,3,Worcester Polytechnic Institute,1
0,89.0,0.0,143.0,160.0,3.0,0.705,OE,3,Worcester Polytechnic Institute,1
0,108.0,0.0,150.0,157.0,3.0,0.78,BA,3,Worcester Polytechnic Institute,1
0,112.0,4.0,152.0,162.0,4.5,0.785,CS,3,Worcester Polytechnic Institute,1
0,106.0,0.0,149.0,157.0,4.0,0.685,BA,3,Worcester Polytechnic Institute,1
0,106.0,0.0,161.0,170.0,3.0,0.58,CS,3,Worcester Polytechnic Institute,1
0,110.0,0.0,150.0,161.0,4.0,0.83,CS,3,Worcester Polytechnic Institute,1
0,114.0,0.0,147.0,157.0,3.5,0.78,BA,5,Worcester Polytechnic Institute,1
0,94.0,0.0,138.0,170.0,3.5,0.61,OE,3,Worcester Polytechnic Institute,1
0,90.0,0.0,152.0,170.0,3.0,0.646,CS,3,Worcester Polytechnic Institute,1
0,95.0,0.0,132.0,170.0,3.0,0.615,EE,5,Worcester Polytechnic Institute,1
0,89.0,0.0,145.0,162.0,3.0,0.61,BA,3,Worcester Polytechnic Institute,1
0,112.0,0.0,152.0,160.0,3.5,0.65,BA,3,Worcester Polytechnic Institute,1
0,106.0,8.0,155.0,153.0,3.5,0.692,BA,3,Worcester Polytechnic Institute,1
0,109.0,0.0,133.0,170.0,3.0,0.7,BA,5,Worcester Polytechnic Institute,1
0,84.0,4.0,142.0,159.0,3.0,0.65,BA,3,Worcester Polytechnic Institute,1
0,110.0,0.0,154.0,167.0,3.0,0.66,EE,3,Worcester Polytechnic Institute,1
0,106.0,0.0,142.0,170.0,3.5,0.825,EE,3,Worcester Polytechnic Institute,1
0,105.0,0.0,151.0,151.0,3.5,0.8300000000000001,BA,3,Worcester Polytechnic Institute,1
0,84.0,0.0,139.0,170.0,4.0,0.76,BA,5,Worcester Polytechnic Institute,1
0,103.0,0.0,153.0,158.0,3.0,0.776,EE,2,Worcester Polytechnic Institute,1
0,109.0,0.0,161.0,168.0,4.0,0.829,EE,3,Worcester Polytechnic Institute,1
0,92.0,0.0,139.0,168.0,3.0,0.75,EE,5,Worcester Polytechnic Institute,1
0,97.0,0.0,136.0,169.0,3.0,0.68,BA,2,Worcester Polytechnic Institute,1
0,107.0,0.0,153.0,163.0,3.0,0.8630000000000001,EE,2,Worcester Polytechnic Institute,1
0,108.0,0.0,157.0,170.0,4.0,0.597,EE,3,Worcester Polytechnic Institute,1
0,102.0,0.0,148.0,157.0,3.0,0.58,CS,2,Worcester Polytechnic Institute,1
0,112.0,0.0,159.0,161.0,4.0,0.57,CS,5,Worcester Polytechnic Institute,1
0,109.0,0.0,154.0,164.0,3.0,0.73,EE,3,Worcester Polytechnic Institute,1
0,99.0,0.0,149.0,158.0,3.5,0.066,,5,Worcester Polytechnic Institute,1
0,109.0,0.0,155.0,166.0,4.0,0.71,SD,3,Worcester Polytechnic Institute,1
0,106.0,0.0,38.0,50.0,4.0,0.83,BA,1,Worcester Polytechnic Institute,1
0,91.0,0.0,144.0,157.0,3.0,0.5611,EE,1,Worcester Polytechnic Institute,0
0,101.0,0.0,150.0,164.0,4.0,0.891,EE,3,Worcester Polytechnic Institute,0
0,80.0,0.0,139.0,125.1,3.0,0.54,CS,3,Worcester Polytechnic Institute,0
0,98.0,0.0,144.0,170.0,3.0,0.643,CS,3,Worcester Polytechnic Institute,0
0,92.0,0.0,144.0,155.0,3.5,0.562,EE,3,Worcester Polytechnic Institute,0
0,79.0,2.0,142.0,153.0,3.5,0.68,OE,2,Worcester Polytechnic Institute,0
0,101.0,0.0,147.0,155.0,3.0,0.6573,BA,3,Worcester Polytechnic Institute,0
0,104.0,0.0,145.0,157.0,3.0,0.623,BA,5,Worcester Polytechnic Institute,0
0,97.0,0.0,132.0,163.0,3.5,0.74,CS,5,Worcester Polytechnic Institute,0
0,97.0,0.0,144.0,155.0,3.5,0.58,BA,3,Worcester Polytechnic Institute,0
0,101.0,6.0,157.0,158.0,3.5,0.0818,CS,3,Worcester Polytechnic Institute,0
0,104.0,0.0,133.0,157.0,3.0,0.58,BA,3,Worcester Polytechnic Institute,0
0,109.0,0.0,154.0,160.0,4.0,0.597,CS,3,Worcester Polytechnic Institute,0
0,87.0,0.0,137.0,157.0,3.5,0.61,EE,5,Worcester Polytechnic Institute,0
0,91.0,1.0,153.0,164.0,3.0,0.851,EE,5,Worcester Polytechnic Institute,0
0,82.0,0.0,126.0,169.0,3.0,0.6881999999999999,EE,5,Worcester Polytechnic Institute,0
0,110.0,0.0,155.0,161.0,3.5,0.8300000000000001,CS,2,Worcester Polytechnic Institute,0
0,100.0,0.0,128.0,166.0,2.5,0.56,CS,5,Worcester Polytechnic Institute,0
0,97.0,0.0,142.0,154.0,3.5,0.6,CS,3,Worcester Polytechnic Institute,0
0,106.0,0.0,144.0,167.0,3.5,0.57,CS,5,Worcester Polytechnic Institute,0
0,104.0,0.0,157.0,164.0,3.5,0.623,OE,3,Worcester Polytechnic Institute,0
0,96.0,0.0,145.0,160.0,3.5,0.65,BA,3,Worcester Polytechnic Institute,0
0,96.0,0.0,149.0,155.0,3.5,0.65,EE,5,Worcester Polytechnic Institute,0
0,100.0,0.0,141.0,168.0,3.0,0.69,BA,3,Worcester Polytechnic Institute,0
0,97.0,0.0,156.0,164.0,3.5,0.66,BA,3,Worcester Polytechnic Institute,0
0,90.0,0.0,149.0,158.0,2.0,0.6345000000000001,EE,3,Worcester Polytechnic Institute,0
0,95.0,0.0,148.0,162.0,3.0,0.5885,EE,3,Worcester Polytechnic Institute,0
0,96.0,0.0,145.0,158.0,3.0,0.7340000000000001,CS,3,Worcester Polytechnic Institute,0
0,112.0,15.0,152.0,163.0,4.0,0.6647,EE,2,Worcester Polytechnic Institute,0
0,85.0,0.0,143.0,161.0,3.0,0.58,CS,3,Worcester Polytechnic Institute,0
0,96.0,0.0,144.0,153.0,3.5,0.5777,EE,3,Worcester Polytechnic Institute,0
0,101.0,0.0,149.0,153.0,3.5,0.55,BA,3,Worcester Polytechnic Institute,0
0,91.0,0.0,140.0,161.0,3.0,0.55,OE,3,Worcester Polytechnic Institute,0
0,104.0,0.0,156.0,167.0,3.5,0.658,CS,2,Worcester Polytechnic Institute,0
0,99.0,0.0,151.0,166.0,2.5,0.654,CS,3,Worcester Polytechnic Institute,0
0,85.0,0.0,141.0,161.0,2.5,0.7,CS,3,Worcester Polytechnic Institute,0
0,106.0,0.0,145.0,170.0,3.0,0.7373999999999999,CS,5,Worcester Polytechnic Institute,0
0,97.0,0.0,130.0,170.0,3.0,0.63,CS,3,Worcester Polytechnic Institute,0
0,98.0,0.0,129.0,170.0,3.0,0.583,CS,3,Worcester Polytechnic Institute,0
12,88.0,12.0,156.0,167.0,2.5,0.78,CS,5,Worcester Polytechnic Institute,0
0,99.0,0.0,153.0,159.0,3.0,0.72,OE,5,Wayne State University,1
0,76.0,0.0,123.0,163.0,3.0,0.82,CS,3,Wayne State University,1
0,112.0,0.0,151.0,164.0,3.5,0.569,OE,3,Wayne State University,1
0,99.0,0.0,150.0,151.0,3.0,0.762,OE,3,Wayne State University,1
